time,ax,ay,az,aT
0.0030,-0.4076,0.0400,-0.4323,0.596
0.0130,-0.0634,-0.0761,-0.4027,0.415
0.0330,0.0433,-0.1677,-0.2772,0.327
0.0520,-0.2302,-0.1723,-0.1037,0.306
0.0720,-0.2994,-0.1051,-0.0130,0.318
0.0910,-0.3867,-0.0362,-0.1289,0.409
0.1100,-0.2939,-0.0875,-0.1837,0.357
0.1290,-0.2311,-0.0715,-0.1839,0.304
0.1490,-0.0089,-0.0893,-0.1279,0.156
0.1680,0.1395,-0.1018,-0.0297,0.175
0.1880,-0.0144,-0.0918,-0.1199,0.152
0.2070,-0.2719,0.0786,-0.1818,0.336
0.2270,-0.2699,0.1167,-0.0457,0.298
0.2460,-0.2562,0.1278,-0.0113,0.286
0.2660,-0.2878,0.1801,-0.0378,0.342
0.2850,-0.3129,0.0586,-0.0258,0.319
0.3040,-0.3689,0.0042,-0.1141,0.386
0.3240,-0.3352,0.0154,-0.1151,0.355
0.3430,-0.2548,0.0389,-0.0969,0.275
0.3620,-0.2329,0.0721,-0.0826,0.257
0.3820,-0.3237,0.1288,-0.0456,0.351
0.4010,-0.3008,0.1652,-0.0561,0.348
0.4210,-0.1692,0.1846,-0.1026,0.271
0.4430,-0.0922,0.1371,-0.0523,0.173
0.4630,-0.1782,0.0750,-0.1810,0.265
0.4790,-0.1325,-0.0478,-0.0492,0.149
0.4980,-0.1687,-0.0325,0.0564,0.181
0.5170,-0.3240,0.0143,-0.1370,0.352
0.5370,-0.1815,-0.0971,0.0143,0.206
0.5570,-0.0499,-0.1301,0.2107,0.253
0.5760,-0.2160,-0.2385,0.3157,0.451
0.5960,-0.3662,-0.1403,0.0139,0.392
0.6140,-0.3789,-0.1617,0.1336,0.433
0.6340,-0.3284,-0.0775,0.1915,0.388
0.6530,-0.5135,-0.1362,0.1816,0.561
0.6730,-0.8086,-0.2819,0.3228,0.915
0.6920,-0.9447,-0.2871,0.5399,1.125
0.7120,-0.7140,-0.2306,0.6375,0.985
0.7310,-0.7122,-0.1303,0.5325,0.899
0.7510,-0.8475,-0.3831,0.5587,1.085
0.7700,-0.9192,-0.4122,0.2799,1.046
0.7890,-1.1231,-0.2568,0.0061,1.152
0.8080,-1.2125,-0.2490,0.0902,1.241
0.8280,-1.1545,-0.2897,0.0792,1.193
0.8490,-0.4444,-0.6041,-1.2448,1.453
0.8670,-0.0593,-1.0534,-0.8102,1.330
0.8870,-0.6610,-1.4481,0.4304,1.649
0.9060,-0.7167,-1.2417,-0.0761,1.436
0.9250,-1.2441,-1.0754,0.8274,1.841
0.9440,-1.4474,-0.6314,0.8232,1.781
0.9640,-1.0174,-0.7038,0.5491,1.353
0.9830,-1.2682,-0.8229,0.8721,1.745
1.0030,-2.2114,-0.2175,0.9801,2.429
1.0220,0.2937,-1.2584,0.2727,1.321
1.0410,1.2137,-1.6676,-0.8148,2.218
1.0610,-0.3601,-1.6254,1.1003,1.996
1.0800,-0.6435,-1.8129,1.2325,2.285
1.0990,-0.8671,-1.8066,0.8201,2.165
1.1190,-1.1371,-1.5471,0.6054,2.013
1.1390,-0.3898,-1.9537,-0.6828,2.106
1.1580,-0.2078,-2.0411,0.3397,2.080
1.1770,-0.0887,-2.2887,0.2934,2.309
1.1960,-0.5497,-1.9288,0.8738,2.188
1.2160,-0.8069,-1.1942,0.4667,1.515
1.2350,-0.8593,-0.9293,-0.5934,1.398
1.2550,-0.9448,-1.7151,-1.6711,2.574
1.2770,-0.8060,-1.7922,-2.2616,2.996
1.2940,-1.1063,-1.2438,-1.8677,2.502
1.3130,-0.5069,-1.0987,-1.3487,1.812
1.3320,0.0527,-1.0934,-0.2496,1.123
1.3520,0.1336,-1.5208,1.2235,1.956
1.3710,-0.2871,-1.8314,-0.1506,1.860
1.3900,-0.2611,-1.5349,-1.9363,2.485
1.4100,-0.2500,-0.8453,-1.8054,2.009
1.4290,-0.5373,-0.6685,-1.0771,1.377
1.4490,-0.1445,-0.7661,-0.7465,1.079
1.4730,0.9373,-0.6021,-0.3717,1.174
1.4870,1.4875,-0.2546,-1.4281,2.078
1.5070,0.2036,0.7140,-1.0621,1.296
1.5270,-0.8778,1.0347,-1.8566,2.300
1.5460,-0.7873,1.2340,-1.1178,1.842
1.5650,0.7993,1.2559,0.3974,1.541
1.5860,2.1403,-0.2832,2.0854,3.002
1.6200,2.9757,-0.8105,2.0469,3.702
1.6240,2.2726,-0.5793,0.4129,2.381
1.6430,0.4736,0.5380,-0.7040,1.005
1.6630,-0.0335,1.3266,-1.3794,1.914
1.6820,0.6837,1.4676,-1.6422,2.306
1.7060,1.4144,1.0642,-0.1381,1.775
1.7470,1.1103,1.2924,1.6154,2.348
1.7480,0.8587,1.0813,1.5676,2.089
1.7600,0.6561,0.6987,0.7140,1.195
1.7780,0.3623,0.5827,0.8116,1.063
1.7980,0.4956,0.5063,1.1547,1.355
1.8170,0.7118,0.2870,1.3944,1.592
1.8360,0.4998,0.2532,1.0103,1.155
1.8570,0.3383,0.1259,0.7111,0.798
1.8990,0.2859,0.1709,0.6459,0.727
1.8990,0.2708,0.0468,0.6982,0.750
1.9140,0.3407,-0.1972,0.4663,0.610
1.9330,0.2580,-0.3456,0.2794,0.514
1.9540,-0.0018,-0.3947,-0.0721,0.401
1.9740,-0.2816,-0.4914,-0.6670,0.875
1.9920,-0.2240,-0.5071,-0.9961,1.140
2.0140,0.1408,-0.4666,-0.4869,0.689
2.0530,0.3963,-0.6136,0.3515,0.811
2.0530,0.5400,-1.1891,0.5930,1.434
2.0690,0.2998,-1.5683,0.1595,1.605
