time,ax,ay,az,aT
0.0020,-0.6004,-0.0012,0.7336,0.948
0.0150,-0.4966,-0.7889,1.0013,1.368
0.0340,-0.5440,-1.0238,1.0936,1.594
0.0530,-0.5022,-1.3613,1.2095,1.889
0.0730,-0.6505,-1.5706,-0.1689,1.708
0.0920,-0.6986,-1.2883,-1.3193,1.972
0.1120,-0.9917,-0.3591,-2.7667,2.961
0.1320,-1.1471,0.0836,-2.4718,2.726
0.1520,-0.9363,-0.7721,-1.4144,1.864
0.1700,-0.2759,-2.5337,-0.1907,2.556
0.1890,-0.5743,-2.5331,-0.7135,2.694
0.2080,-1.0285,-2.6431,-1.5504,3.232
0.2290,-1.3008,-2.4629,-2.6867,3.870
0.2470,-1.7037,-1.6538,-3.4878,4.219
0.2670,-1.8436,-1.1681,-3.2453,3.911
0.2860,-1.2379,-2.1536,-2.8156,3.755
0.3060,-0.0514,-3.7588,-4.1410,5.593
0.3250,0.3042,-3.1686,-6.0218,6.811
0.3440,-1.2244,-0.7394,-6.9260,7.072
0.3640,-2.2864,0.4356,-4.5973,5.153
0.3830,-2.8403,1.0709,-0.2120,3.043
0.4030,-2.9476,0.4176,2.7783,4.072
0.4220,-1.7419,-0.8142,3.3157,3.833
0.4410,-0.9340,-1.3592,2.2692,2.805
0.4610,-1.7111,-0.6141,1.1091,2.130
0.4800,-2.3655,0.0789,0.9775,2.561
0.4990,-2.4154,0.2494,2.2467,3.308
0.5200,-2.3722,0.5044,3.5477,4.297
0.5390,-1.5590,-0.4035,2.7306,3.170
0.5580,-2.1121,-0.5468,4.3930,4.905
0.5780,-1.6032,-1.3390,4.4021,4.873
0.5970,-1.8119,-1.0166,4.6633,5.105
0.6160,-1.2436,-0.8448,4.7655,4.997
0.6360,-0.1848,-1.1804,3.5424,3.738
0.6560,0.6914,-1.5760,2.4699,3.010
0.6740,0.0386,-1.0262,1.7063,1.991
0.6940,-0.5142,-1.1688,-0.8456,1.531
0.7130,-0.4658,-1.1555,-1.8497,2.230
0.7320,-0.1191,-1.2025,-1.8068,2.174
0.7520,0.3689,-1.8072,-2.1253,2.814
0.7710,0.8057,-2.3747,-3.8252,4.574
0.7910,0.5623,-1.8524,-5.1942,5.543
0.8100,0.4237,-1.2906,-5.0161,5.197
0.8300,0.7246,-1.6764,-5.0884,5.406
0.8490,0.4492,-1.3429,-5.8740,6.042
0.8680,-0.4866,-0.2642,-5.9500,5.976
0.8870,-1.1323,0.4146,-4.4251,4.586
0.9070,-0.8278,-0.0654,-1.9237,2.095
0.9260,-0.3771,-0.6622,0.0403,0.763
0.9460,-0.2380,-0.7975,0.7272,1.105
0.9650,-0.6221,-0.6089,1.0120,1.335
0.9840,-1.1704,-0.5390,0.9897,1.625
1.0040,-1.2232,-0.5413,0.8623,1.591
1.0240,-1.6014,-0.3794,1.3063,2.101
1.0430,-1.8849,-0.1552,1.8586,2.652
1.0620,-2.2440,0.2066,2.7764,3.576
1.0810,-2.3344,0.4047,3.5936,4.304
