time,ax,ay,az,aT
0.0030,0.7674,-1.2039,1.1362,1.825
0.0170,0.7352,-0.9103,0.8153,1.426
0.0360,0.5621,-1.3720,0.4139,1.539
0.0550,0.9255,-2.6719,-0.4998,2.872
0.0740,0.9082,-2.8170,-1.4068,3.277
0.0940,0.2455,-1.3906,-1.7218,2.227
0.1130,-0.3078,-0.1212,-2.3995,2.422
0.1320,-0.4085,0.0531,-3.3609,3.386
0.1520,-0.6320,0.2145,-3.7526,3.811
0.1720,-1.6038,0.2678,-2.9199,3.342
0.1910,-1.8402,-0.0144,-2.5675,3.159
0.2100,-1.4531,0.1463,-1.3870,2.014
0.2300,-0.2980,0.0475,-0.1317,0.329
0.2490,0.4177,0.1740,-1.2086,1.291
0.2690,0.0951,0.2737,-1.0288,1.069
0.2880,-0.1892,0.2128,0.6198,0.682
0.3070,-0.7299,-0.2026,1.6912,1.853
0.3270,-1.3322,-0.2898,1.9143,2.350
0.3460,-1.1449,-0.3791,1.3208,1.789
0.3740,-0.3732,0.0925,2.1878,2.221
0.3850,0.3700,-0.2500,1.5591,1.622
0.4040,-1.4072,0.8145,2.7645,3.207
0.4240,-2.4915,1.4669,4.0428,4.970
0.4430,-2.6398,1.1198,4.8933,5.672
0.4620,-0.3265,-1.5937,4.2861,4.584
0.4820,-0.3396,-2.1217,4.2359,4.750
0.5010,-1.3034,-0.3802,-0.1117,1.362
0.5210,-3.6248,0.3447,1.8225,4.072
0.5400,-2.9757,-0.6710,4.6736,5.581
0.5590,-4.9963,0.2653,5.4989,7.435
0.5790,-5.2148,-0.6930,-1.7234,5.536
0.5980,-2.8922,-2.9370,-3.6471,5.504
0.6180,-1.2668,-2.6700,-2.5736,3.919
0.6370,-0.3486,-3.4075,-0.9953,3.567
0.6560,0.1525,-5.8206,0.2734,5.829
0.6750,1.3550,-6.7587,0.0984,6.894
0.6950,1.4179,-6.0142,-2.6336,6.717
0.7140,0.3654,-3.7331,-4.4907,5.851
0.7340,0.2153,-2.3784,0.0427,2.389
0.7530,0.7259,-1.1891,3.5630,3.826
0.7720,0.4152,0.2797,4.5785,4.606
0.7920,1.3697,0.2728,4.8349,5.033
0.8110,3.1737,2.2874,2.6987,4.753
0.8310,2.6379,1.2535,-1.9761,3.526
0.8510,0.3028,-1.7433,0.3054,1.796
0.8700,-0.2087,-1.9500,0.0735,1.963
0.8890,-0.9087,-1.2323,-0.1117,1.535
0.9080,-3.3212,-0.6661,-0.4478,3.417
0.9280,-6.8357,1.8657,-7.1173,10.043
0.9470,-6.5211,3.8358,-11.2057,13.521
0.9660,-3.7215,3.7001,-6.5547,8.397
0.9860,-0.9595,1.1319,-0.1857,1.495
1.0060,-0.4004,-2.4428,0.7372,2.583
1.0250,-1.5769,-4.4396,-5.9430,7.584
1.0440,-2.7880,-4.5821,-10.4063,11.707
1.0640,-1.9897,-4.1244,-12.4538,13.269
1.0830,-0.4856,-3.5956,-8.8206,9.538
1.1020,-0.6745,-1.7182,-3.3681,3.841
1.1220,0.1437,0.2224,2.6308,2.644
1.1410,-0.0021,1.6611,5.0343,5.301
1.1610,-1.0894,1.9734,3.8766,4.484
1.1800,-1.5061,1.7891,1.6773,2.878
1.1990,-1.6665,2.3021,1.1142,3.053
1.2190,-1.3218,2.8489,2.6966,4.139
1.2380,-1.1175,2.6886,5.0623,5.840
1.2570,-0.8003,2.2779,6.5904,7.019
1.2770,-0.9589,0.6774,5.9628,6.077
1.2960,-0.5465,-1.2045,2.4143,2.753
1.3150,0.1168,-1.3658,-2.8215,3.137
1.3350,-2.3252,2.0346,-7.1017,7.745
